order_id,date,product,category,quantity,price,region,customer_note
1085,2029-04-03,Увлажнитель воздуха AirFresh,Бытовая техника,3,4090,Екатеринбург,
1086,2029-04-24,Термос ThermoKeep,Аксессуары,6,1290,Москва,
1087,2029-05-16,Смарт-часы FitTrack 5,Электроника,2,14490,Новосибирск,
1088,2029-06-08,Блендер MixMaster,Бытовая техника,1,6790,Москва,
1089,2029-07-02,Клавиатура MechType,Электроника,2,7890,Санкт-Петербург,
1090,2029-08-19,Робот-пылесос CleanBot 3000,Бытовая техника,1,27990,Москва,
1091,2029-09-14,Весы напольные SmartScale,Аксессуары,3,1790,Казань,
1092,2029-10-11,Проектор HomeCinema X1,Электроника,1,37990,Москва,
1093,2029-11-07,Беспроводные наушники SoundX Pro,Электроника,4,5590,Екатеринбург,
1094,2029-11-28,Кофемашина BrewPerfect,Бытовая техника,2,19990,Москва,Для офиса
1095,2029-12-22,Рюкзак TravelMax,Аксессуары,5,4590,Москва,Новогодние подарки
